# frame	seconds	right_knee	left_knee
0	0.0	108.68	142.19
0	0.0	106.87	142.05
0	0.0	103.66	141.26
0	0.0	100.57	140.18
0	0.0	96.69	138.44
0	0.0	92.95	136.23
0	0.0	92.23	135.78
0	0.0	89.01	132.95
0	0.0	84.47	129.32
0	0.0	79.03	123.04
0	0.0	74.84	117.71
0	0.0	75.14	113.74
0	0.0	71.9	110.12
0	0.0	68.09	105.31
0	0.0	63.17	95.39
0	0.0	59.9	90.82
0	0.0	55.44	84.19
0	0.0	52.19	78.42
0	0.0	52.7	77.54
0	0.0	50.92	75.07
0	0.0	49.62	72.8
0	0.0	47.52	69.66
0	0.0	45.85	67.26
0	0.0	44.26	64.4
0	0.0	44.95	65.77
0	0.0	44.48	64.77
0	0.0	43.05	63.84
0	0.0	41.75	62.83
0	0.0	40.39	61.99
0	0.0	39.28	60.52
0	0.0	39.09	61.68
0	0.0	37.47	59.93
0	0.0	35.83	57.19
0	0.0	35.8	56.23
0	0.0	35.11	55.18
0	0.0	34.11	53.27
0	0.0	34.04	51.72
0	0.0	33.89	50.48
0	0.0	33.91	49.34
0	0.0	34.0	48.96
0	0.0	33.99	48.82
0	0.0	33.94	48.8
0	0.0	33.86	48.48
0	0.0	33.91	48.12
0	0.0	34.04	47.51
0	0.0	34.16	47.19
0	0.0	34.25	46.99
0	0.0	34.37	46.84
0	0.0	34.49	46.74
0	0.0	34.62	46.61
0	0.0	34.7	46.46
0	0.0	34.68	46.29
0	0.0	34.64	46.05
0	0.0	34.64	45.9
0	0.0	34.61	45.76
0	0.0	34.54	45.58
0	0.0	34.5	45.4
0	0.0	34.47	45.24
0	0.0	34.45	45.16
0	0.0	34.46	45.08
0	0.0	34.48	45.01
0	0.0	34.48	44.92
0	0.0	34.54	44.91
0	0.0	34.57	44.88
0	0.0	34.61	44.9
0	0.0	34.65	44.88
0	0.0	34.66	44.88
0	0.0	34.69	44.88
0	0.0	34.74	44.99
0	0.0	34.76	45.05
0	0.0	34.88	45.18
0	0.0	35.05	45.53
0	0.0	36.35	50.09
0	0.0	38.59	55.85
0	0.0	41.83	61.71
0	0.0	42.86	62.77
0	0.0	45.73	68.37
0	0.0	47.69	72.55
0	0.0	48.83	71.01
0	0.0	51.0	76.33
0	0.0	53.44	81.19
0	0.0	58.12	91.95
0	0.0	64.03	104.56
